Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
200039824;CC Ardèche des Sources et Volcans;35.7
200039832;CC Pays des Vans en Cévennes;28.1
200039857;CA du Pays de Grasse;204.5
200039865;Metz Métropole;711.4
200039907;CC du Sud Messin;65.4
200039915;CA Cannes Pays de Lérins;1667.3
200039931;CC Alpes d'Azur;10.9
200039949;CC Rives de Moselle;411.9
200040038;CC Saône Doubs Bresse;38.3
200040095;CC Isle Vern Salembre en Périgord;66.5
200040111;CC Cœur de Chartreuse;47.8
200040137;CC des Lacs de Champagne;21.2
200040178;CC de l'Outre-Forêt;135.4
200040202;CC Provence Verdon;34.4
200040210;CC Lacs et Gorges du Verdon;17
200040244;CA du Bocage Bressuirais;55.9
200040251;CC Bassée-Montois;55.2
200040277;CA Agglo du Pays de Dreux;108.8
200040293;CC du Clunisois;31
200040350;CC Bugey Sud;54.4
200040384;CC Isle Double Landais;51.3
200040392;CA Le Grand Périgueux;104.5
200040400;CC du Périgord Ribéracois;28.7
200040418;CC du Pays de Serres en Quercy;18.7
200040426;CC du Val de l'Oise;48.9
200040442;CA Luberon Monts de Vaucluse;154
200040459;CA Montélimar Agglomération;175.6
200040475;CC Loué - Brûlon - Noyen;39.5
200040491;CC Porte de Drômardèche;112.3
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;66.9
200040558;CC Écueillé-Valençay;20.5
200040566;CA de l'Ouest Rhodanien;87.5
200040574;CC Beaujolais Pierres Dorées;213
200040590;CA Villefranche Beaujolais Saône;433.5
200040624;CC Pays d'Apt-Luberon;45.8
200040657;CC de la Matheysine;29.7
200040681;CC Enclave des Papes-Pays de Grignan;62.2
200040715;Grenoble-Alpes-Métropole;815.8
200040764;CC du Sud Corse;36
200040772;CC du Perche et Haut Vendômois;24
200040798;CC Val Vanoise;22.8
200040814;CC Briance Sud Haute Vienne;27.9
200040830;CC du Pays de Fénelon;30
200040889;CC de Portes Sud Périgord;30.1
200040905;CC Carmausin-Ségala;62.1
200040947;CC de Flandre Intérieure;162.4
200040954;CC des Hauts de Flandre;119.5
200041010;CC Cœur de Savoie;112.3
200041051;CC Vallée de la Dordogne et Forêt Bessède;36.1
200041150;CC Terrassonnais Haut Périgord Noir;39.3
200041168;CC de la Vallée de l'Homme;29.6
200041283;CC de la Plaine du Rhin;122.8
200041317;CA du Niortais;148.7
200041325;CC du Pays Rhénan;225.3
200041333;CC de Parthenay-Gâtine;44.7
200041366;CC Rhône Crussol;169
200041416;CC Airvaudais-Val du Thouet;30.5
200041440;CC de Domme-Villefranche du Périgord;22.7
200041465;CC Val Eyrieux;24.6
200041499;CC Aunis Atlantique;68.5
200041507;CA La Riviera du Levant;309.4
200041515;CC du Bassin de Pont-à-Mousson;152.1
200041523;CC de la Haute Saintonge;39.1
200041556;CC Portes de la Creuse en Marche;19.2
200041572;CC Dronne et Belle;22.3
200041614;CC Aunis Sud;68.9
200041622;CC Ardennes Thiérache;22.8
200041630;CA Ardenne Métropole;213.9
200041689;CC Vals de Saintonge Communauté;36.8
200041721;CC de la Haute Comté;39.6
200041762;CA Rochefort Océan;150
200041788;CA du Pays Nord Martinique;180.7
200041853;CC du Pays de Montbozon et du Chanois;27.7
200041861;CC du Triangle Vert;29.8
200041879;CC Terres de Saône;35.4
200041887;CC du Val Marnaysien;47.5
200041960;CC Pévèle-Carembault;308.8
200041994;CC Haut Val de Sèvre;88.9
200042000;CC Bruyères-Vallons des Vosges;68.9
200042174;CA Lorient Agglomération;276.3
200042182;CC du Mont des Avaloirs;29.2
200042190;CA de la Porte du Hainaut;427.7
200042372;CC des Coteaux Arrats Gimone;26.6
200042414;CC Bresse Revermont 71;34.9
200042463;CC de la Montagne Noire;20.2
200042497;CC Dombes Saône Vallée;215
200042604;CC de Granville, Terre et Mer;156.6
200042620;CC de la Région de Suippes;16.1
200042646;CC Grand Orb communauté de communes en Languedoc;43.8
200042653;CC Sud-Hérault;56.7
200042703;CC de l'Argonne Champenoise;14.4
200042729;CC de la Baie du Cotentin;51.8
200042901;CC Drôme Sud Provence;146.8
200042935;CA Haut - Bugey Agglomération;91.6
200042943;CC du Cap Corse;22.1
200042992;CC Perthois-Bocage et Der;19.7
200043016;CC Val de Charente;33
200043065;CC du Val d'Amboise;109.8
200043081;CC Chinon, Vienne et Loire;67.6
200043123;CC Auray Quiberon Terre Atlantique;168.1
200043156;CC du Pays Rethélois;36.8
200043172;CA du Bassin de Brive;132.9
200043263;CC Cœur de l'Avesnois;71.3
200043321;CC du Pays de Mormal;103.6
200043354;CC de Villedieu Intercom;53.3
200043396;CA Maubeuge Val de Sambre;364.2
200043404;CC du Sud Avesnois;140
200043438;CC de la Moivre à la Coole;19.3
200043495;CA du Pays de Laon;135.1
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;190.1
200043628;CC des Vallées du Clain;71.5
200043693;CC Terre Lorraine du Longuyonnais;63.4
200043776;CC Pyrénées Audoises;14.9
200043974;CC du Sud Gironde;46.6
200043982;CC du Bazadais;26
200043990;CC Vallons de Haute-Bretagne Communauté;87
200044014;CC Creuse Grand Sud;19.4
200044030;CC des 7 Vallées;59.6
200044048;CC Osartis Marquion;127.9
200044253;CC du Bassin de Joinville en Champagne;18
200044394;CC du Réolais en Sud Gironde;73.4
200044469;CC du Pays de Mirepoix;31.5
200044618;CA Douaisis Agglo;632
200044691;CA du Nord Grande Terre;176.1
200046977;Métropole de Lyon;2621.2
200048551;CC du Pays de Craon;44.7
200049187;CA du Grand Verdun;92.1
200049211;CC Conflent-Canigó;26
200049484;CC Berry Grand Sud;13.8
200050532;CC de Petite-Terre;N/A
200054781;Métropole du Grand Paris;8689.1
200054807;Métropole d'Aix-Marseille-Provence;600
200055481;CC Beauce Val de Loire;38.4
200055655;CA Roissy Pays de France;1039.8
200055887;CC Mayenne Communauté;59.1
200056232;CA Communauté Paris-Saclay;1690.4
200056380;CA Plaine Vallée;2464.7
200057859;CA Cœur d'Essonne Agglomération;1521.3
200057958;CA Paris - Vallée de la Marne;2379.1
200058360;CC Entre Beauce et Perche;46.9
200058477;CA Val d'Yerres Val de Seine;2667.6
200058485;CA Val Parisis;3188.5
200058519;CA Saint Germain Boucles de Seine;2409.1
200058782;CA de Saint-Quentin-en-Yvelines;1915.4
200059228;CA Grand Paris Sud Seine Essonne Sénart;1591.9
200059392;CC Bièvre Isère;78.7
200059400;CC Porte Océane du Limousin;76
200059871;CC du Centre-Ouest;N/A
200059889;CU Grand Paris Seine et Oise;827.3
200060010;CA Mauges Communauté;91.2
200060457;CA de Dembeni/Mamoudzou;N/A
200060465;CA du Grand Nord de Mayotte;N/A
200060473;CC du Sud;N/A
200065563;CC Normandie-Cabourg-Pays d'Auge;113
200065589;CC Val ès Dunes;110.6
200065597;CU Caen la Mer;739.7
200065647;CA Pays de Montbéliard Agglomération;311.7
200065787;CC de Pont-Audemer / Val de Risle;101.3
200065886;CA Loire Forez Agglomération;83.1
200065894;CC de Forez-Est;115.1
