Insee - Statistiques locales; ; 
Référentiel géographique : France par arrondissement; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
731;Albertville;45.3
732;Chambéry;176
733;Saint-Jean-de-Maurienne;21.7
741;Annecy;227.4
742;Bonneville;121.2
743;Saint-Julien-en-Genevois;290.5
744;Thonon-les-Bains;164.2
751;Paris;20641.4
761;Dieppe;75.2
762;Le Havre;317
763;Rouen;327.6
771;Meaux;249.6
772;Melun;455
773;Provins;78.4
774;Fontainebleau;126.8
775;Torcy;1196.6
781;Mantes-la-Jolie;362.7
782;Rambouillet;231.8
783;Saint-Germain-en-Laye;1485.5
784;Versailles;2221.9
791;Bressuire;56.4
792;Niort;81.6
793;Parthenay;40.7
801;Abbeville;79.7
802;Amiens;130.1
803;Montdidier;60.7
804;Péronne;63.3
811;Albi;70.5
812;Castres;64.7
821;Castelsarrasin;48.7
822;Montauban;85.6
831;Draguignan;138.7
832;Toulon;466.8
833;Brignoles;73
841;Apt;92.3
842;Avignon;620.6
843;Carpentras;120.9
851;Fontenay-le-Comte;60.4
852;La Roche-sur-Yon;119.9
853;Les Sables-d'Olonne;126
861;Châtellerault;54.7
862;Montmorillon;23.2
863;Poitiers;123.1
871;Bellac;21.6
872;Limoges;100.9
873;Rochechouart;47.4
881;Épinal;78.1
882;Neufchâteau;29.1
883;Saint-Dié-des-Vosges;75.6
891;Auxerre;48
892;Avallon;20.1
893;Sens;68.4
901;Belfort;232.8
911;Étampes;153.6
912;Évry;1148.4
913;Palaiseau;1296
921;Antony;8500.9
922;Nanterre;9774.6
923;Boulogne-Billancourt;8758.6
931;Bobigny;10882.8
932;Le Raincy;5120.8
933;Saint-Denis;9285.1
941;Créteil;3189.2
942;Nogent-sur-Marne;9021.3
943;L'Haÿ-les-Roses;6416.9
951;Argenteuil;3856.2
952;Sarcelles;1278.7
953;Pontoise;450.3
9711;Basse-Terre;219
9712;Pointe-à-Pitre;259.1
9721;Fort-de-France;904.8
9722;La Trinité;226.4
9723;Le Marin;281.2
9724;Saint-Pierre;107.4
9731;Cayenne;4.3
9732;Saint-Laurent-du-Maroni;2.3
9741;Saint-Denis;720.8
9742;Saint-Pierre;329.5
9743;Saint-Benoît;172.4
9744;Saint-Paul;392.6
