Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Population municipale 2019
200039931;CC Alpes d'Azur;9657
200039949;CC Rives de Moselle;52312
200040038;CC Saône Doubs Bresse;12205
200040095;CC Isle Vern Salembre en Périgord;18837
200040111;CC Cœur de Chartreuse;17052
200040137;CC des Lacs de Champagne;9296
200040178;CC de l'Outre-Forêt;16191
200040202;CC Provence Verdon;22268
200040210;CC Lacs et Gorges du Verdon;9168
200040244;CA du Bocage Bressuirais;73944
200040251;CC Bassée-Montois;23230
200040277;CA Agglo du Pays de Dreux;114916
200040293;CC du Clunisois;13946
200040350;CC Bugey Sud;34057
200040384;CC Isle Double Landais;12202
200040392;CA Le Grand Périgueux;103969
200040400;CC du Périgord Ribéracois;19520
200040418;CC du Pays de Serres en Quercy;8410
200040426;CC du Val de l'Oise;15962
200040442;CA Luberon Monts de Vaucluse;55034
200040459;CA Montélimar Agglomération;67520
200040475;CC Loué - Brûlon - Noyen;18201
200040491;CC Porte de Drômardèche;47435
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;15863
200040558;CC Écueillé-Valençay;11016
200040566;CA de l'Ouest Rhodanien;50601
200040574;CC Beaujolais Pierres Dorées;53570
200040590;CA Villefranche Beaujolais Saône;72815
200040624;CC Pays d'Apt-Luberon;29122
200040657;CC de la Matheysine;18886
200040681;CC Enclave des Papes-Pays de Grignan;22802
200040715;Grenoble-Alpes-Métropole;446612
200040764;CC du Sud Corse;20488
200040772;CC du Perche et Haut Vendômois;9219
200040798;CC Val Vanoise;9148
200040814;CC Briance Sud Haute Vienne;9125
200040830;CC du Pays de Fénelon;9606
200040889;CC de Portes Sud Périgord;8417
200040905;CC Carmausin-Ségala;29737
200040947;CC de Flandre Intérieure;102759
200040954;CC des Hauts de Flandre;53578
200041010;CC Cœur de Savoie;37336
200041051;CC Vallée de la Dordogne et Forêt Bessède;8978
200041150;CC Terrassonnais Haut Périgord Noir;22262
200041168;CC de la Vallée de l'Homme;15636
200041283;CC de la Plaine du Rhin;18433
200041317;CA du Niortais;121642
200041325;CC du Pays Rhénan;36838
200041333;CC de Parthenay-Gâtine;37117
200041366;CC Rhône Crussol;33890
200041416;CC Airvaudais-Val du Thouet;6876
200041440;CC de Domme-Villefranche du Périgord;8523
200041465;CC Val Eyrieux;12470
200041499;CC Aunis Atlantique;30683
200041507;CA La Riviera du Levant;63748
200041515;CC du Bassin de Pont-à-Mousson;40566
200041523;CC de la Haute Saintonge;68248
200041556;CC Portes de la Creuse en Marche;6621
200041572;CC Dronne et Belle;11222
200041614;CC Aunis Sud;32162
200041622;CC Ardennes Thiérache;9684
200041630;CA Ardenne Métropole;121160
200041689;CC Vals de Saintonge Communauté;51999
200041721;CC de la Haute Comté;17336
200041762;CA Rochefort Océan;63480
200041788;CA du Pays Nord Martinique;97582
200041853;CC du Pays de Montbozon et du Chanois;6581
200041861;CC du Triangle Vert;11066
200041879;CC Terres de Saône;13324
200041887;CC du Val Marnaysien;14363
200041960;CC Pévèle-Carembault;96383
200041994;CC Haut Val de Sèvre;30818
200042000;CC Bruyères-Vallons des Vosges;15116
200042174;CA Lorient Agglomération;205008
200042182;CC du Mont des Avaloirs;15840
200042190;CA de la Porte du Hainaut;158714
200042372;CC des Coteaux Arrats Gimone;10735
200042414;CC Bresse Revermont 71;9882
200042463;CC de la Montagne Noire;5819
200042497;CC Dombes Saône Vallée;39119
200042604;CC de Granville, Terre et Mer;44328
200042620;CC de la Région de Suippes;7700
200042646;CC Grand Orb communauté de communes en Languedoc;20046
200042653;CC Sud-Hérault;17905
200042703;CC de l'Argonne Champenoise;11959
200042729;CC de la Baie du Cotentin;23027
200042901;CC Drôme Sud Provence;42697
200042935;CA Haut - Bugey Agglomération;63365
200042943;CC du Cap Corse;6706
200042992;CC Perthois-Bocage et Der;5677
200043016;CC Val de Charente;13776
200043065;CC du Val d'Amboise;27702
200043081;CC Chinon, Vienne et Loire;23465
200043123;CC Auray Quiberon Terre Atlantique;88405
200043156;CC du Pays Rethélois;29905
200043172;CA du Bassin de Brive;107281
200043263;CC Cœur de l'Avesnois;29451
200043321;CC du Pays de Mormal;48363
200043354;CC de Villedieu Intercom;15646
200043396;CA Maubeuge Val de Sambre;125085
200043404;CC du Sud Avesnois;24812
200043438;CC de la Moivre à la Coole;9470
200043495;CA du Pays de Laon;42147
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;55751
200043628;CC des Vallées du Clain;26879
200043693;CC Terre Lorraine du Longuyonnais;15378
200043776;CC Pyrénées Audoises;13763
200043974;CC du Sud Gironde;38959
200043982;CC du Bazadais;15800
200043990;CC Vallons de Haute-Bretagne Communauté;44007
200044014;CC Creuse Grand Sud;11794
200044030;CC des 7 Vallées;29602
200044048;CC Osartis Marquion;42302
200044253;CC du Bassin de Joinville en Champagne;12421
200044394;CC du Réolais en Sud Gironde;23899
200044469;CC du Pays de Mirepoix;10512
200044618;CA Douaisis Agglo;148784
200044691;CA du Nord Grande Terre;56466
200046977;Métropole de Lyon;1411571
200048551;CC du Pays de Craon;28692
200049187;CA du Grand Verdun;27493
200049211;CC Conflent-Canigó;20559
200049484;CC Berry Grand Sud;11622
200050532;CC de Petite-Terre;N/A
200054781;Métropole du Grand Paris;7094649
200054807;Métropole d'Aix-Marseille-Provence;1898561
200055481;CC Beauce Val de Loire;19682
200055655;CA Roissy Pays de France;357396
200055887;CC Mayenne Communauté;36719
200056232;CA Communauté Paris-Saclay;313794
200056380;CA Plaine Vallée;183125
200057859;CA Cœur d'Essonne Agglomération;203528
200057958;CA Paris - Vallée de la Marne;228179
200058360;CC Entre Beauce et Perche;21132
200058477;CA Val d'Yerres Val de Seine;177448
200058485;CA Val Parisis;282028
200058519;CA Saint Germain Boucles de Seine;337615
200058782;CA de Saint-Quentin-en-Yvelines;228139
200059228;CA Grand Paris Sud Seine Essonne Sénart;353988
200059392;CC Bièvre Isère;55024
200059400;CC Porte Océane du Limousin;25686
200059871;CC du Centre-Ouest;N/A
200059889;CU Grand Paris Seine et Oise;421098
200060010;CA Mauges Communauté;119430
200060457;CA de Dembeni/Mamoudzou;N/A
200060465;CA du Grand Nord de Mayotte;N/A
200060473;CC du Sud;N/A
200065563;CC Normandie-Cabourg-Pays d'Auge;31212
200065589;CC Val ès Dunes;18560
200065597;CU Caen la Mer;270255
200065647;CA Pays de Montbéliard Agglomération;139970
200065787;CC de Pont-Audemer / Val de Risle;32801
200065886;CA Loire Forez Agglomération;110772
200065894;CC de Forez-Est;63837
200065928;CA Lannion-Trégor Communauté;99747
200066009;CA Mulhouse Alsace Agglomération;274133
200066017;CC Lieuvin Pays d'Auge;20519
200066025;CC Pays Rhin - Brisach;33460
200066033;CC Sud Alsace Largue;22317
200066041;CC Sundgau;47597
200066058;CA Saint-Louis Agglomération;81696
200066108;CC des Portes de Meuse;16388
200066116;CC Argonne-Meuse;7041
200066124;CA Gaillac-Graulhet;74286
200066132;CC du Pays de Stenay et du Val Dunois;9594
200066140;CC de l'Aire à l'Argonne;6452
200066157;CC de Commercy - Void - Vaucouleurs;22192
200066165;CC Val de Meuse - Voie Sacrée;9089
200066173;CC de Damvillers Spincourt;8197
200066223;CC Arize Lèze;10880
200066231;CC des Portes d'Ariège Pyrénées;39628
200066280;CC du Pithiverais;29281
