NOM;ANNREF;GEOGRAPHIE;D_0041_DIM1;D_0041_MOD_DIM1;D_0041_LIB_DIM1;D_0041_DIM2;D_0041_MOD_DIM2;D_0041_LIB_DIM2;D_0041_DIM3;D_0041_MOD_DIM3;D_0041_LIB_DIM3;VALEUR;QUALITE
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;005;Mai;7758;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;005;Mai;484;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;005;Mai;303538;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;005;Mai;4507;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;005;Mai;925;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;005;Mai;10912;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;006;Juin;283591;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;006;Juin;282647;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;006;Juin;6188;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;006;Juin;547;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;006;Juin;262207;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;006;Juin;4114;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;006;Juin;944;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;006;Juin;9591;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;007;Juillet;289111;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;007;Juillet;288310;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;007;Juillet;8027;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;007;Juillet;540;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;007;Juillet;264968;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;007;Juillet;3709;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;007;Juillet;800;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;007;Juillet;11066;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;008;Août;277524;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;008;Août;276723;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;008;Août;7876;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;008;Août;501;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;008;Août;253395;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;008;Août;5065;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;008;Août;801;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;008;Août;9887;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;009;Septembre;277099;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;009;Septembre;276205;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;009;Septembre;6317;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;009;Septembre;517;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;009;Septembre;253060;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;009;Septembre;4264;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;009;Septembre;895;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;009;Septembre;12046;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;010;Octobre;310162;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;010;Octobre;309212;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;010;Octobre;6813;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;010;Octobre;515;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;010;Octobre;287040;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;010;Octobre;3688;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;010;Octobre;950;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;010;Octobre;11156;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;011;Novembre;296927;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;011;Novembre;296220;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;011;Novembre;5575;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;011;Novembre;489;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;011;Novembre;277855;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;011;Novembre;3429;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;011;Novembre;707;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;011;Novembre;8873;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;012;Décembre;316862;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;012;Décembre;316013;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;012;Décembre;6512;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;012;Décembre;460;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;012;Décembre;295556;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;012;Décembre;3695;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;012;Décembre;849;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;012;Décembre;9790;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;013;Total annuel;3620937;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;013;Total annuel;3610108;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;013;Total annuel;80962;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;013;Total annuel;6070;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;013;Total annuel;3352322;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;013;Total annuel;48347;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;013;Total annuel;10830;OUI
D_0041;2013;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;013;Total annuel;122407;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;001;Janvier;312414;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;001;Janvier;311460;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;001;Janvier;5473;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;001;Janvier;354;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;001;Janvier;290816;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;001;Janvier;3255;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;001;Janvier;954;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;001;Janvier;11563;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;002;Février;299104;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;002;Février;298246;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;002;Février;5512;OUI
