Insee - Statistiques locales; ; 
Référentiel géographique : France par arrondissement; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
793;Parthenay;880
801;Abbeville;1708
802;Amiens;2966
803;Montdidier;553
804;Péronne;1164
811;Albi;2265
812;Castres;2272
821;Castelsarrasin;1004
822;Montauban;1840
831;Draguignan;3716
832;Toulon;6968
833;Brignoles;1964
841;Apt;1456
842;Avignon;2046
843;Carpentras;2488
851;Fontenay-le-Comte;1637
852;La Roche-sur-Yon;2459
853;Les Sables-d'Olonne;3387
861;Châtellerault;1242
862;Montmorillon;1035
863;Poitiers;2293
871;Bellac;634
872;Limoges;3164
873;Rochechouart;503
881;Épinal;2659
882;Neufchâteau;779
883;Saint-Dié-des-Vosges;1575
891;Auxerre;2247
892;Avallon;664
893;Sens;1541
901;Belfort;1587
911;Étampes;1147
912;Évry;4081
913;Palaiseau;4503
921;Antony;3061
922;Nanterre;6465
923;Boulogne-Billancourt;2294
931;Bobigny;3070
932;Le Raincy;5230
933;Saint-Denis;2804
941;Créteil;2221
942;Nogent-sur-Marne;3926
943;L'Haÿ-les-Roses;4249
951;Argenteuil;3127
952;Sarcelles;3873
953;Pontoise;2229
9711;Basse-Terre;1720
9712;Pointe-à-Pitre;2022
9721;Fort-de-France;1505
9722;La Trinité;779
9723;Le Marin;1058
9724;Saint-Pierre;244
9731;Cayenne;756
9732;Saint-Laurent-du-Maroni;234
9741;Saint-Denis;1179
9742;Saint-Pierre;2031
9743;Saint-Benoît;759
9744;Saint-Paul;1185
