Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
200040178;CC de l'Outre-Forêt;141
200040202;CC Provence Verdon;248
200040210;CC Lacs et Gorges du Verdon;122
200040244;CA du Bocage Bressuirais;723
200040251;CC Bassée-Montois;245
200040277;CA Agglo du Pays de Dreux;1182
200040293;CC du Clunisois;251
200040350;CC Bugey Sud;407
200040384;CC Isle Double Landais;205
200040392;CA Le Grand Périgueux;1122
200040400;CC du Périgord Ribéracois;295
200040418;CC du Pays de Serres en Quercy;134
200040426;CC du Val de l'Oise;203
200040442;CA Luberon Monts de Vaucluse;629
200040459;CA Montélimar Agglomération;649
200040475;CC Loué - Brûlon - Noyen;193
200040491;CC Porte de Drômardèche;458
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;181
200040558;CC Écueillé-Valençay;248
200040566;CA de l'Ouest Rhodanien;706
200040574;CC Beaujolais Pierres Dorées;450
200040590;CA Villefranche Beaujolais Saône;693
200040624;CC Pays d'Apt-Luberon;349
200040657;CC de la Matheysine;263
200040681;CC Enclave des Papes-Pays de Grignan;270
200040715;Grenoble-Alpes-Métropole;3975
200040764;CC du Sud Corse;205
200040772;CC du Perche et Haut Vendômois;152
200040798;CC Val Vanoise;77
200040814;CC Briance Sud Haute Vienne;99
200040830;CC du Pays de Fénelon;146
200040889;CC de Portes Sud Périgord;109
200040905;CC Carmausin-Ségala;435
200040947;CC de Flandre Intérieure;1061
200040954;CC des Hauts de Flandre;531
200041010;CC Cœur de Savoie;388
200041051;CC Vallée de la Dordogne et Forêt Bessède;123
200041150;CC Terrassonnais Haut Périgord Noir;299
200041168;CC de la Vallée de l'Homme;234
200041283;CC de la Plaine du Rhin;173
200041317;CA du Niortais;1194
200041325;CC du Pays Rhénan;319
200041333;CC de Parthenay-Gâtine;487
200041366;CC Rhône Crussol;391
200041416;CC Airvaudais-Val du Thouet;106
200041440;CC de Domme-Villefranche du Périgord;113
200041465;CC Val Eyrieux;227
200041499;CC Aunis Atlantique;293
200041507;CA La Riviera du Levant;576
200041515;CC du Bassin de Pont-à-Mousson;403
200041523;CC de la Haute Saintonge;943
200041556;CC Portes de la Creuse en Marche;123
200041572;CC Dronne et Belle;194
200041614;CC Aunis Sud;292
200041622;CC Ardennes Thiérache;133
200041630;CA Ardenne Métropole;1492
200041689;CC Vals de Saintonge Communauté;794
200041721;CC de la Haute Comté;226
200041762;CA Rochefort Océan;774
200041788;CA du Pays Nord Martinique;1023
200041853;CC du Pays de Montbozon et du Chanois;108
200041861;CC du Triangle Vert;106
200041879;CC Terres de Saône;122
200041887;CC du Val Marnaysien;125
200041960;CC Pévèle-Carembault;798
200041994;CC Haut Val de Sèvre;302
200042000;CC Bruyères-Vallons des Vosges;219
200042174;CA Lorient Agglomération;2347
200042182;CC du Mont des Avaloirs;237
200042190;CA de la Porte du Hainaut;1736
200042372;CC des Coteaux Arrats Gimone;130
200042414;CC Bresse Revermont 71;162
200042463;CC de la Montagne Noire;84
200042497;CC Dombes Saône Vallée;287
200042604;CC de Granville, Terre et Mer;599
200042620;CC de la Région de Suippes;65
200042646;CC Grand Orb communauté de communes en Languedoc;305
200042653;CC Sud-Hérault;246
200042703;CC de l'Argonne Champenoise;173
200042729;CC de la Baie du Cotentin;341
200042901;CC Drôme Sud Provence;356
200042935;CA Haut - Bugey Agglomération;626
200042943;CC du Cap Corse;106
200042992;CC Perthois-Bocage et Der;79
200043016;CC Val de Charente;195
200043065;CC du Val d'Amboise;313
200043081;CC Chinon, Vienne et Loire;293
200043123;CC Auray Quiberon Terre Atlantique;1120
200043156;CC du Pays Rethélois;344
200043172;CA du Bassin de Brive;1205
200043263;CC Cœur de l'Avesnois;368
200043321;CC du Pays de Mormal;524
200043354;CC de Villedieu Intercom;190
200043396;CA Maubeuge Val de Sambre;1429
200043404;CC du Sud Avesnois;334
200043438;CC de la Moivre à la Coole;131
200043495;CA du Pays de Laon;430
