NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_PAILLE_2;2004;FR;METRO;NR11;77;Groupe d'indicateurs;020.09;Production de pailles (volume);1150000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR11;91;Groupe d'indicateurs;020.09;Production de pailles (volume);9800;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR11;92;Groupe d'indicateurs;020.09;Production de pailles (volume);0;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR11;93;Groupe d'indicateurs;020.09;Production de pailles (volume);800;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR11;78;Groupe d'indicateurs;020.09;Production de pailles (volume);168350;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR11;95;Groupe d'indicateurs;020.09;Production de pailles (volume);76500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR11;94;Groupe d'indicateurs;020.09;Production de pailles (volume);4750;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR24;45;Groupe d'indicateurs;020.09;Production de pailles (volume);1228000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR24;41;Groupe d'indicateurs;020.09;Production de pailles (volume);1889000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR24;28;Groupe d'indicateurs;020.09;Production de pailles (volume);1400000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR24;36;Groupe d'indicateurs;020.09;Production de pailles (volume);4800000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR24;18;Groupe d'indicateurs;020.09;Production de pailles (volume);3678000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR24;37;Groupe d'indicateurs;020.09;Production de pailles (volume);1814350;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;58;Groupe d'indicateurs;020.09;Production de pailles (volume);1065000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;90;Groupe d'indicateurs;020.09;Production de pailles (volume);199750;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;89;Groupe d'indicateurs;020.09;Production de pailles (volume);2725500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;21;Groupe d'indicateurs;020.09;Production de pailles (volume);4787000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;71;Groupe d'indicateurs;020.09;Production de pailles (volume);2183354;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;25;Groupe d'indicateurs;020.09;Production de pailles (volume);583900;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;70;Groupe d'indicateurs;020.09;Production de pailles (volume);2200000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;39;Groupe d'indicateurs;020.09;Production de pailles (volume);1494379;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR28;76;Groupe d'indicateurs;020.09;Production de pailles (volume);4042400;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR28;14;Groupe d'indicateurs;020.09;Production de pailles (volume);3770000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR28;50;Groupe d'indicateurs;020.09;Production de pailles (volume);1900000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR28;27;Groupe d'indicateurs;020.09;Production de pailles (volume);3136000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR28;61;Groupe d'indicateurs;020.09;Production de pailles (volume);4350000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR32;80;Groupe d'indicateurs;020.09;Production de pailles (volume);5080100;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR32;59;Groupe d'indicateurs;020.09;Production de pailles (volume);3922200;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR32;02;Groupe d'indicateurs;020.09;Production de pailles (volume);2000800;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR32;62;Groupe d'indicateurs;020.09;Production de pailles (volume);6513500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR32;60;Groupe d'indicateurs;020.09;Production de pailles (volume);2057100;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;10;Groupe d'indicateurs;020.09;Production de pailles (volume);2000000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;51;Groupe d'indicateurs;020.09;Production de pailles (volume);1803000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;52;Groupe d'indicateurs;020.09;Production de pailles (volume);2194000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;67;Groupe d'indicateurs;020.09;Production de pailles (volume);644000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;54;Groupe d'indicateurs;020.09;Production de pailles (volume);2775800;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;88;Groupe d'indicateurs;020.09;Production de pailles (volume);771000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;55;Groupe d'indicateurs;020.09;Production de pailles (volume);2547200;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;57;Groupe d'indicateurs;020.09;Production de pailles (volume);2179800;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;08;Groupe d'indicateurs;020.09;Production de pailles (volume);1886475;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;68;Groupe d'indicateurs;020.09;Production de pailles (volume);380755;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR52;44;Groupe d'indicateurs;020.09;Production de pailles (volume);3467500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR52;85;Groupe d'indicateurs;020.09;Production de pailles (volume);3941000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR52;53;Groupe d'indicateurs;020.09;Production de pailles (volume);4441000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR52;49;Groupe d'indicateurs;020.09;Production de pailles (volume);2868500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR52;72;Groupe d'indicateurs;020.09;Production de pailles (volume);3876572;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR53;56;Groupe d'indicateurs;020.09;Production de pailles (volume);4453600;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR53;35;Groupe d'indicateurs;020.09;Production de pailles (volume);5063550;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR53;22;Groupe d'indicateurs;020.09;Production de pailles (volume);4975000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR53;29;Groupe d'indicateurs;020.09;Production de pailles (volume);4530250;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;16;Groupe d'indicateurs;020.09;Production de pailles (volume);3373300;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;79;Groupe d'indicateurs;020.09;Production de pailles (volume);3070000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;23;Groupe d'indicateurs;020.09;Production de pailles (volume);985500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;87;Groupe d'indicateurs;020.09;Production de pailles (volume);1382000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;19;Groupe d'indicateurs;020.09;Production de pailles (volume);309600;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;33;Groupe d'indicateurs;020.09;Production de pailles (volume);100000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;17;Groupe d'indicateurs;020.09;Production de pailles (volume);3556000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;24;Groupe d'indicateurs;020.09;Production de pailles (volume);527200;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;47;Groupe d'indicateurs;020.09;Production de pailles (volume);1266200;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;40;Groupe d'indicateurs;020.09;Production de pailles (volume);176400;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;86;Groupe d'indicateurs;020.09;Production de pailles (volume);5393700;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;64;Groupe d'indicateurs;020.09;Production de pailles (volume);270000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;09;Groupe d'indicateurs;020.09;Production de pailles (volume);367800;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;66;Groupe d'indicateurs;020.09;Production de pailles (volume);21420;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;31;Groupe d'indicateurs;020.09;Production de pailles (volume);138500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;81;Groupe d'indicateurs;020.09;Production de pailles (volume);1282450;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;12;Groupe d'indicateurs;020.09;Production de pailles (volume);2935000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;11;Groupe d'indicateurs;020.09;Production de pailles (volume);951300;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;65;Groupe d'indicateurs;020.09;Production de pailles (volume);223820;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;32;Groupe d'indicateurs;020.09;Production de pailles (volume);1860000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;82;Groupe d'indicateurs;020.09;Production de pailles (volume);560200;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;46;Groupe d'indicateurs;020.09;Production de pailles (volume);746000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;34;Groupe d'indicateurs;020.09;Production de pailles (volume);346300;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;48;Groupe d'indicateurs;020.09;Production de pailles (volume);174000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;30;Groupe d'indicateurs;020.09;Production de pailles (volume);63872;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;03;Groupe d'indicateurs;020.09;Production de pailles (volume);2269300;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;26;Groupe d'indicateurs;020.09;Production de pailles (volume);1071500;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;69;Groupe d'indicateurs;020.09;Production de pailles (volume);294170;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;15;Groupe d'indicateurs;020.09;Production de pailles (volume);354950;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;42;Groupe d'indicateurs;020.09;Production de pailles (volume);851000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;43;Groupe d'indicateurs;020.09;Production de pailles (volume);550700;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;73;Groupe d'indicateurs;020.09;Production de pailles (volume);124900;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;63;Groupe d'indicateurs;020.09;Production de pailles (volume);1818600;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;38;Groupe d'indicateurs;020.09;Production de pailles (volume);1054250;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;07;Groupe d'indicateurs;020.09;Production de pailles (volume);156000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;74;Groupe d'indicateurs;020.09;Production de pailles (volume);351360;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;01;Groupe d'indicateurs;020.09;Production de pailles (volume);1830000;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR93;04;Groupe d'indicateurs;020.09;Production de pailles (volume);187330;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR93;06;Groupe d'indicateurs;020.09;Production de pailles (volume);3030;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR93;13;Groupe d'indicateurs;020.09;Production de pailles (volume);134490;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR93;05;Groupe d'indicateurs;020.09;Production de pailles (volume);380300;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR93;83;Groupe d'indicateurs;020.09;Production de pailles (volume);15190;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR93;84;Groupe d'indicateurs;020.09;Production de pailles (volume);13650;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR94;2B;Groupe d'indicateurs;020.09;Production de pailles (volume);29800;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR94;2A;Groupe d'indicateurs;020.09;Production de pailles (volume);450;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR11;...;Groupe d'indicateurs;020.09;Production de pailles (volume);1410200;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR24;...;Groupe d'indicateurs;020.09;Production de pailles (volume);14809350;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR27;...;Groupe d'indicateurs;020.09;Production de pailles (volume);15238883;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR28;...;Groupe d'indicateurs;020.09;Production de pailles (volume);17198400;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR32;...;Groupe d'indicateurs;020.09;Production de pailles (volume);19573700;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR44;...;Groupe d'indicateurs;020.09;Production de pailles (volume);17182030;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR52;...;Groupe d'indicateurs;020.09;Production de pailles (volume);18594572;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR53;...;Groupe d'indicateurs;020.09;Production de pailles (volume);19022400;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR75;...;Groupe d'indicateurs;020.09;Production de pailles (volume);20409900;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR76;...;Groupe d'indicateurs;020.09;Production de pailles (volume);9670662;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR84;...;Groupe d'indicateurs;020.09;Production de pailles (volume);10726730;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR93;...;Groupe d'indicateurs;020.09;Production de pailles (volume);733990;OUI
SAANR_PAILLE_2;2004;FR;METRO;NR94;...;Groupe d'indicateurs;020.09;Production de pailles (volume);30250;OUI
SAANR_PAILLE_2;2004;FR;METRO;...;...;Groupe d'indicateurs;020.09;Production de pailles (volume);164601067;OUI
SAANR_PAILLE_2;2004;FR;...;...;...;Groupe d'indicateurs;020.09;Production de pailles (volume);164601067;OUI
