Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par arrondissement; ; ; ; ; 
Code;Libellé;Évol. annuelle moy. de la pop. due au solde apparent entrées/sorties 2013-2018;Évol. annuelle moy. de la population 2013 - 2019 (en %) 2019;Évol. annuelle moy. de la population 2013-2018;Évol. annuelle moy. de la pop. due au solde naturel 2013-2018
351;Fougères-Vitré;0.21;0.5;0.46;0.25
352;Redon;0.24;0.5;0.54;0.3
353;Rennes;0.61;1.2;1.21;0.6
354;Saint-Malo;0.98;0.8;0.82;-0.16
361;Le Blanc;-0.04;-0.9;-0.94;-0.9
362;Châteauroux;-0.2;-0.5;-0.55;-0.35
363;La Châtre;0.23;-0.6;-0.65;-0.88
364;Issoudun;-0.33;-0.9;-0.86;-0.53
371;Chinon;0.1;0.1;0.05;-0.05
372;Tours;0.15;0.5;0.46;0.31
373;Loches;-0.11;-0.3;-0.25;-0.13
381;Grenoble;-0.3;0.2;0.16;0.46
382;La Tour-du-Pin;0.4;1;1.03;0.63
383;Vienne;0.24;0.7;0.64;0.4
391;Dole;0.08;0.1;0.09;0.01
392;Lons-le-Saunier;0.28;0;0.06;-0.22
393;Saint-Claude;-0.78;-0.6;-0.62;0.16
401;Dax;1.12;1;0.97;-0.15
402;Mont-de-Marsan;0.46;0.3;0.26;-0.2
411;Blois;-0.09;0.1;0.11;0.2
412;Vendôme;-0.26;-0.6;-0.63;-0.36
413;Romorantin-Lanthenay;0.3;-0.1;-0.07;-0.36
421;Montbrison;0.44;0.6;0.62;0.18
422;Roanne;0.01;-0.1;-0.06;-0.07
423;Saint-Étienne;-0.21;0.1;0.07;0.28
431;Brioude;0.28;-0.3;-0.25;-0.53
432;Le Puy-en-Velay;0.37;0.2;0.15;-0.22
433;Yssingeaux;0.25;0.2;0.28;0.02
442;Nantes;0.84;1.4;1.42;0.58
443;Saint-Nazaire;1;1;0.95;-0.05
445;Châteaubriant-Ancenis;0.5;0.9;0.92;0.42
451;Montargis;-0.14;-0.2;-0.2;-0.06
452;Orléans;0.17;0.6;0.66;0.5
453;Pithiviers;0.09;0.1;0.16;0.08
461;Cahors;0.56;0.2;0.2;-0.37
462;Figeac;0.6;0.1;0.1;-0.5
463;Gourdon;0.45;-0.3;-0.34;-0.79
471;Agen;-0.09;0;0.02;0.12
472;Marmande;0.49;0.1;0.12;-0.37
473;Villeneuve-sur-Lot;0.05;-0.3;-0.33;-0.38
474;Nérac;0.34;-0.3;-0.19;-0.53
481;Florac;0.37;-0.4;-0.32;-0.69
482;Mende;0.41;0.1;0.04;-0.37
491;Angers;0.3;0.7;0.71;0.41
492;Cholet;-0.12;0.2;0.22;0.34
493;Saumur;-0.22;-0.2;-0.18;0.04
494;Segré;-0.02;0.3;0.34;0.37
501;Avranches;0.27;-0.1;-0.1;-0.37
502;Cherbourg;-0.24;-0.3;-0.29;-0.05
503;Coutances;0.1;-0.2;-0.24;-0.34
504;Saint-Lô;-0.06;0;-0.05;0.01
511;Châlons-en-Champagne;-0.47;-0.2;-0.19;0.27
512;Épernay;-0.43;-0.5;-0.54;-0.1
513;Reims;-0.18;0.2;0.27;0.45
514;Vitry-le-François;-0.89;-1;-0.96;-0.07
521;Chaumont;-0.45;-0.6;-0.63;-0.19
522;Langres;-0.32;-0.7;-0.64;-0.31
523;Saint-Dizier;-0.99;-1.1;-1.15;-0.15
531;Château-Gontier;0;0.1;0.14;0.14
532;Laval;-0.18;0.3;0.25;0.43
533;Mayenne;-0.23;-0.4;-0.39;-0.15
541;Briey;0.29;0.3;0.32;0.03
542;Lunéville;-0.43;-0.5;-0.47;-0.04
543;Nancy;-0.15;0.1;0.12;0.27
544;Toul;-0.55;-0.2;-0.23;0.32
551;Bar-le-Duc;-0.67;-0.8;-0.81;-0.14
552;Commercy;-0.77;-0.8;-0.84;-0.07
553;Verdun;-0.52;-0.6;-0.58;-0.05
561;Lorient;0.57;0.5;0.44;-0.14
562;Pontivy;0.36;0.1;0.07;-0.29
563;Vannes;0.7;0.7;0.7;0
573;Forbach-Boulay-Moselle;-0.53;-0.5;-0.5;0.03
575;Sarrebourg-Château-Salins;-0.3;-0.4;-0.42;-0.12
576;Sarreguemines;-0.24;-0.4;-0.36;-0.12
577;Thionville;0.11;0.4;0.29;0.18
579;Metz;-0.15;0.3;0.15;0.29
581;Château-Chinon (Ville);0.01;-1;-1.07;-1.08
582;Clamecy;-0.21;-1.3;-1.22;-1.01
583;Nevers;-0.45;-0.7;-0.78;-0.33
584;Cosne-Cours-sur-Loire;-0.15;-0.9;-0.89;-0.74
591;Avesnes-sur-Helpe;-0.53;-0.3;-0.32;0.22
592;Cambrai;-0.27;-0.2;-0.18;0.09
593;Douai;-0.4;-0.1;-0.14;0.26
594;Dunkerque;-0.36;-0.1;-0.11;0.25
595;Lille;-0.41;0.3;0.28;0.7
596;Valenciennes;-0.27;0.1;0.12;0.4
601;Beauvais;-0.06;0.4;0.41;0.47
602;Clermont;-0.32;0.1;0.07;0.39
603;Compiègne;-0.13;0.2;0.21;0.34
604;Senlis;-0.29;0.3;0.34;0.63
611;Alençon;-0.27;-0.3;-0.36;-0.08
612;Argentan;-0.19;-0.4;-0.37;-0.17
613;Mortagne-au-Perche;-0.43;-0.8;-0.83;-0.4
621;Arras;-0.06;0.1;0.11;0.17
622;Béthune;-0.21;-0.1;-0.06;0.16
623;Boulogne-sur-Mer;-0.58;-0.4;-0.42;0.16
624;Montreuil;-0.08;-0.2;-0.21;-0.14
625;Saint-Omer;-0.13;0.2;0.19;0.32
626;Calais;-0.11;0.2;0.26;0.38
627;Lens;-0.24;0.1;0.12;0.37
631;Ambert;0.52;-0.2;-0.19;-0.7
632;Clermont-Ferrand;0.44;0.7;0.69;0.25
633;Issoire;0.65;0.5;0.51;-0.14
634;Riom;0.55;0.4;0.48;-0.06
635;Thiers;0.51;0.3;0.3;-0.21
641;Bayonne;1.1;1;0.96;-0.15
642;Oloron-Sainte-Marie;0.27;-0.3;-0.3;-0.58
643;Pau;0.16;0.2;0.19;0.03
651;Argelès-Gazost;-0.29;-0.7;-0.84;-0.56
652;Bagnères-de-Bigorre;0.4;-0.2;-0.28;-0.68
653;Tarbes;0.54;0.4;0.37;-0.16
661;Céret;1.27;0.7;0.75;-0.52
662;Perpignan;0.5;0.6;0.57;0.07
663;Prades;0.7;0.3;0.27;-0.43
672;Haguenau-Wissembourg;0.05;0.2;0.17;0.11
673;Molsheim;0.11;0.2;0.22;0.1
674;Saverne;-0.05;0;0.01;0.06
675;Sélestat-Erstein;0.08;0.4;0.35;0.27
678;Strasbourg;0.16;0.8;0.74;0.58
681;Altkirch;0.01;0.1;0.09;0.08
682;Colmar-Ribeauvillé;0.1;0.2;0.26;0.16
684;Mulhouse;-0.16;0.3;0.26;0.42
686;Thann-Guebwiller;-0.26;-0.2;-0.2;0.06
691;Lyon;0.12;0.9;0.93;0.81
692;Villefranche-sur-Saône;0.17;0.6;0.58;0.4
701;Lure;-0.36;-0.4;-0.42;-0.05
702;Vesoul;-0.08;-0.1;-0.1;-0.02
711;Autun;-0.35;-0.8;-0.75;-0.4
712;Chalon-sur-Saône;0;0.1;0.06;0.07
713;Charolles;0.09;-0.5;-0.47;-0.56
714;Louhans;0.43;0.1;0.06;-0.37
715;Mâcon;0.34;0.4;0.41;0.07
721;La Flèche;-0.26;-0.3;-0.3;-0.04
722;Mamers;-0.28;-0.3;-0.28;0
723;Le Mans;-0.2;0.2;0.1;0.3
731;Albertville;-0.28;0;-0.01;0.27
732;Chambéry;0.5;0.8;0.79;0.29
733;Saint-Jean-de-Maurienne;-0.24;-0.3;-0.34;-0.09
741;Annecy;0.65;1.2;1.13;0.48
742;Bonneville;0.12;0.6;0.65;0.53
743;Saint-Julien-en-Genevois;0.93;1.6;1.75;0.81
744;Thonon-les-Bains;0.81;1.4;1.3;0.48
751;Paris;-1.15;-0.5;-0.49;0.66
761;Dieppe;-0.28;-0.3;-0.33;-0.05
762;Le Havre;-0.33;-0.1;-0.07;0.26
763;Rouen;-0.16;0.2;0.21;0.37
771;Meaux;0.04;0.8;0.85;0.81
772;Melun;-0.21;0.8;0.74;0.96
773;Provins;0.24;0.6;0.6;0.36
774;Fontainebleau;-0.13;0;-0.04;0.08
775;Torcy;-0.14;0.8;0.81;0.95
781;Mantes-la-Jolie;-0.41;0.5;0.51;0.92
782;Rambouillet;-0.25;0.1;0.18;0.43
783;Saint-Germain-en-Laye;-0.37;0.4;0.31;0.68
784;Versailles;-0.54;0.3;0.29;0.83
791;Bressuire;0;0.1;0.07;0.07
792;Niort;0.4;0.3;0.33;-0.06
793;Parthenay;0.17;-0.2;-0.16;-0.33
801;Abbeville;-0.3;-0.5;-0.49;-0.2
802;Amiens;-0.08;0.2;0.21;0.29
803;Montdidier;-0.21;0;-0.01;0.2
804;Péronne;-0.16;-0.3;-0.21;-0.05
811;Albi;0.62;0.5;0.48;-0.15
812;Castres;0.34;0.2;0.22;-0.12
821;Castelsarrasin;0.48;0.4;0.31;-0.17
822;Montauban;0.68;0.8;0.86;0.18
831;Draguignan;0.64;0.6;0.58;-0.07
832;Toulon;0.81;0.8;0.74;-0.06
833;Brignoles;1.02;1;1.06;0.04
841;Apt;0.16;0.3;0.29;0.13
842;Avignon;-0.01;0.4;0.47;0.48
843;Carpentras;0.12;0.3;0.29;0.17
851;Fontenay-le-Comte;0.18;0;0.05;-0.13
852;La Roche-sur-Yon;0.45;0.8;0.84;0.4
853;Les Sables-d'Olonne;1.46;1;1.01;-0.45
861;Châtellerault;0.09;-0.1;-0.02;-0.12
862;Montmorillon;0.4;-0.2;-0.18;-0.58
863;Poitiers;0.22;0.6;0.55;0.33
871;Bellac;0.11;-0.7;-0.71;-0.82
872;Limoges;-0.06;-0.1;-0.07;-0.01
873;Rochechouart;0.37;-0.1;-0.11;-0.48
881;Épinal;-0.26;-0.4;-0.35;-0.09
882;Neufchâteau;-0.21;-0.6;-0.56;-0.35
883;Saint-Dié-des-Vosges;-0.42;-0.7;-0.71;-0.28
891;Auxerre;-0.16;-0.4;-0.35;-0.19
892;Avallon;-0.72;-1.4;-1.35;-0.64
893;Sens;0.24;0.2;0.29;0.06
901;Belfort;-0.59;-0.3;-0.34;0.25
911;Étampes;-0.2;0.2;0.24;0.44
912;Évry;-0.37;0.6;0.64;1.01
913;Palaiseau;-0.04;0.8;0.79;0.83
921;Antony;-0.17;0.5;0.57;0.74
922;Nanterre;-0.8;0.2;0.19;0.99
923;Boulogne-Billancourt;-0.25;0.5;0.5;0.75
931;Bobigny;-0.11;1.1;1.1;1.2
932;Le Raincy;-0.39;0.8;0.85;1.24
933;Saint-Denis;-0.25;1.1;1.22;1.48
941;Créteil;-0.14;0.8;0.82;0.96
942;Nogent-sur-Marne;-0.56;0.3;0.22;0.78
943;L'Haÿ-les-Roses;-0.14;0.9;0.89;1.03
951;Argenteuil;-0.05;1.1;0.99;1.05
952;Sarcelles;-0.65;0.4;0.38;1.02
953;Pontoise;-0.12;0.8;0.88;1
9711;Basse-Terre;-0.8;-0.5;-0.4;0.4
9712;Pointe-à-Pitre;-1.45;-0.9;-1.03;0.41
9721;Fort-de-France;-1.11;-0.9;-0.8;0.31
9722;La Trinité;-1.37;-1.3;-1.27;0.1
9723;Le Marin;-0.96;-0.7;-0.78;0.18
9724;Saint-Pierre;-0.84;-0.8;-0.72;0.12
9731;Cayenne;0.35;2.4;2.46;2.11
9732;Saint-Laurent-du-Maroni;-0.43;2.5;2.57;3
9741;Saint-Denis;-0.13;1.2;1.02;1.15
9742;Saint-Pierre;-0.42;0.6;0.63;1.04
9743;Saint-Benoît;-0.92;0.3;0.35;1.27
9744;Saint-Paul;-1.2;-0.1;-0.11;1.1
