"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","C_TYP_REG_SERVICE","L_TYP_REG_SERVICE","TONNAGE_OMA_T"
2011,27,"Bourgogne-Franche-Comté","90","Territoire-de-Belfort","01E","Biodéchets","01E","Valorisation organique",9227.56996
2011,27,"Bourgogne-Franche-Comté","90","Territoire-de-Belfort","01F","Verre","01A","Valorisation matière",4274.85468
2011,27,"Bourgogne-Franche-Comté","90","Territoire-de-Belfort","01F","Verre","01Z","Non précisé",181.44017
2011,27,"Bourgogne-Franche-Comté","90","Territoire-de-Belfort","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",11.27
2011,53,"Bretagne","22","Cotes-d'Armor","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",88335.43595
2011,53,"Bretagne","22","Cotes-d'Armor","01A","Ordures ménagères résiduelles","01D","Stockage",781.86778
2011,53,"Bretagne","22","Cotes-d'Armor","01A","Ordures ménagères résiduelles","01E","Valorisation organique",60873.55
2011,53,"Bretagne","22","Cotes-d'Armor","01D","Emballages et papier","01A","Valorisation matière",30011.17127
2011,53,"Bretagne","22","Cotes-d'Armor","01D","Emballages et papier","01B","Incinération avec récupération d'énergie",3.05826
2011,53,"Bretagne","22","Cotes-d'Armor","01F","Verre","01A","Valorisation matière",29813.85152
2011,53,"Bretagne","29","Finistère","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",236275.7718
2011,53,"Bretagne","29","Finistère","01A","Ordures ménagères résiduelles","01E","Valorisation organique",2982
2011,53,"Bretagne","29","Finistère","01B","Encombrants","01A","Valorisation matière",17.53
2011,53,"Bretagne","29","Finistère","01B","Encombrants","01B","Incinération avec récupération d'énergie",9.74
2011,53,"Bretagne","29","Finistère","01B","Encombrants","01D","Stockage",568
2011,53,"Bretagne","29","Finistère","01D","Emballages et papier","01A","Valorisation matière",45636.50482
2011,53,"Bretagne","29","Finistère","01D","Emballages et papier","01B","Incinération avec récupération d'énergie",2930.26174
2011,53,"Bretagne","29","Finistère","01D","Emballages et papier","01D","Stockage",3443.65
2011,53,"Bretagne","29","Finistère","01E","Biodéchets","01E","Valorisation organique",37692.35
2011,53,"Bretagne","29","Finistère","01F","Verre","01A","Valorisation matière",36743.77526
2011,53,"Bretagne","35","Ille-et-Vilaine","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",184398.1711
2011,53,"Bretagne","35","Ille-et-Vilaine","01A","Ordures ménagères résiduelles","01D","Stockage",21281.72662
2011,53,"Bretagne","35","Ille-et-Vilaine","01A","Ordures ménagères résiduelles","01E","Valorisation organique",7553
2011,53,"Bretagne","35","Ille-et-Vilaine","01B","Encombrants","01A","Valorisation matière",1475
2011,53,"Bretagne","35","Ille-et-Vilaine","01C","Déchets dangereux (y.c. DEEE)","01Z","Non précisé",6.5
2011,53,"Bretagne","35","Ille-et-Vilaine","01D","Emballages et papier","01A","Valorisation matière",51681.12931
2011,53,"Bretagne","35","Ille-et-Vilaine","01E","Biodéchets","01E","Valorisation organique",11063
2011,53,"Bretagne","35","Ille-et-Vilaine","01F","Verre","01A","Valorisation matière",38957.53511
2011,53,"Bretagne","35","Ille-et-Vilaine","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",137.17
2011,53,"Bretagne","56","Morbihan","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",38506.7617
2011,53,"Bretagne","56","Morbihan","01A","Ordures ménagères résiduelles","01C","Incinération sans récupération d'énergie",26599.18
2011,53,"Bretagne","56","Morbihan","01A","Ordures ménagères résiduelles","01D","Stockage",33224.0656
2011,53,"Bretagne","56","Morbihan","01A","Ordures ménagères résiduelles","01E","Valorisation organique",72608.71001
2011,53,"Bretagne","56","Morbihan","01B","Encombrants","01A","Valorisation matière",189.41921
2011,53,"Bretagne","56","Morbihan","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",1.06
2011,53,"Bretagne","56","Morbihan","01C","Déchets dangereux (y.c. DEEE)","01C","Incinération sans récupération d'énergie",0.04999
2011,53,"Bretagne","56","Morbihan","01D","Emballages et papier","01A","Valorisation matière",40364.56398
2011,53,"Bretagne","56","Morbihan","01E","Biodéchets","01E","Valorisation organique",10063.69592
2011,53,"Bretagne","56","Morbihan","01F","Verre","01A","Valorisation matière",36740.3915
2011,53,"Bretagne","56","Morbihan","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",444.56
2011,24,"Centre-Val de Loire","18","Cher","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",5811
2011,24,"Centre-Val de Loire","18","Cher","01A","Ordures ménagères résiduelles","01D","Stockage",33665.13653
2011,24,"Centre-Val de Loire","18","Cher","01A","Ordures ménagères résiduelles","01E","Valorisation organique",31503
2011,24,"Centre-Val de Loire","18","Cher","01A","Ordures ménagères résiduelles","01Z","Non précisé",109.63579
2011,24,"Centre-Val de Loire","18","Cher","01B","Encombrants","01A","Valorisation matière",8.8772
2011,24,"Centre-Val de Loire","18","Cher","01B","Encombrants","01D","Stockage",361.56
2011,24,"Centre-Val de Loire","18","Cher","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",0.296
2011,24,"Centre-Val de Loire","18","Cher","01D","Emballages et papier","01A","Valorisation matière",14526.89328
2011,24,"Centre-Val de Loire","18","Cher","01D","Emballages et papier","01D","Stockage",2.16597
2011,24,"Centre-Val de Loire","18","Cher","01D","Emballages et papier","01Z","Non précisé",553.89579
2011,24,"Centre-Val de Loire","18","Cher","01E","Biodéchets","01D","Stockage",1.439
2011,24,"Centre-Val de Loire","18","Cher","01E","Biodéchets","01E","Valorisation organique",6190.66433
2011,24,"Centre-Val de Loire","18","Cher","01E","Biodéchets","01Z","Non précisé",1457.46
2011,24,"Centre-Val de Loire","18","Cher","01F","Verre","01A","Valorisation matière",11905.41796
2011,24,"Centre-Val de Loire","18","Cher","01F","Verre","01Z","Non précisé",21.05574
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",118048.9778
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01A","Ordures ménagères résiduelles","01D","Stockage",716.27
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01A","Ordures ménagères résiduelles","01Z","Non précisé",107.54609
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01B","Encombrants","01A","Valorisation matière",96.94283
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01B","Encombrants","01D","Stockage",1328.08456
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01C","Déchets dangereux (y.c. DEEE)","01A","Valorisation matière",6.90881
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",1.021
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01D","Emballages et papier","01A","Valorisation matière",19564.63874
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01D","Emballages et papier","01Z","Non précisé",9.38974
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01E","Biodéchets","01E","Valorisation organique",11149.06167
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01E","Biodéchets","01Z","Non précisé",13.26228
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01F","Verre","01A","Valorisation matière",12879.86731
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01F","Verre","01Z","Non précisé",14.83415
2011,24,"Centre-Val de Loire","28","Eure-et-Loir","01ZHG","Collectes séparées hors gravats","01Z","Non précisé",193.00079
2011,24,"Centre-Val de Loire","36","Indre","01A","Ordures ménagères résiduelles","01A","Valorisation matière",14221.28
2011,24,"Centre-Val de Loire","36","Indre","01A","Ordures ménagères résiduelles","01D","Stockage",29915.16543
2011,24,"Centre-Val de Loire","36","Indre","01A","Ordures ménagères résiduelles","01E","Valorisation organique",17775.96
2011,24,"Centre-Val de Loire","36","Indre","01A","Ordures ménagères résiduelles","01Z","Non précisé",131.67846
2011,24,"Centre-Val de Loire","36","Indre","01B","Encombrants","01A","Valorisation matière",59.1628
2011,24,"Centre-Val de Loire","36","Indre","01B","Encombrants","01D","Stockage",194.91
2011,24,"Centre-Val de Loire","36","Indre","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",0.65
2011,24,"Centre-Val de Loire","36","Indre","01D","Emballages et papier","01A","Valorisation matière",6460.48995
2011,24,"Centre-Val de Loire","36","Indre","01D","Emballages et papier","01D","Stockage",18.267
2011,24,"Centre-Val de Loire","36","Indre","01D","Emballages et papier","01Z","Non précisé",2255.36399
2011,24,"Centre-Val de Loire","36","Indre","01E","Biodéchets","01E","Valorisation organique",3
2011,24,"Centre-Val de Loire","36","Indre","01F","Verre","01A","Valorisation matière",9474.551
2011,24,"Centre-Val de Loire","36","Indre","01F","Verre","01Z","Non précisé",26.97524
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",29504.08
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01A","Ordures ménagères résiduelles","01D","Stockage",103802.9
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01A","Ordures ménagères résiduelles","01E","Valorisation organique",4476.35089
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01B","Encombrants","01A","Valorisation matière",1785
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01B","Encombrants","01B","Incinération avec récupération d'énergie",1.21482
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01B","Encombrants","01D","Stockage",172.7
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",2.25301
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01D","Emballages et papier","01A","Valorisation matière",34014.57952
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01E","Biodéchets","01E","Valorisation organique",16417.3
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01F","Verre","01A","Valorisation matière",20922.01977
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01F","Verre","01Z","Non précisé",851.30699
2011,24,"Centre-Val de Loire","37","Indre-et-Loire","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",6.802
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",67909.11203
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01A","Ordures ménagères résiduelles","01D","Stockage",12008.31256
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01A","Ordures ménagères résiduelles","01Z","Non précisé",618.50329
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01B","Encombrants","01A","Valorisation matière",15.84
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01B","Encombrants","01D","Stockage",253.32
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01C","Déchets dangereux (y.c. DEEE)","01A","Valorisation matière",268.471
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",1.96249
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01C","Déchets dangereux (y.c. DEEE)","01C","Incinération sans récupération d'énergie",0.024
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01D","Emballages et papier","01A","Valorisation matière",14171.00305
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01D","Emballages et papier","01Z","Non précisé",61.36207
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01F","Verre","01A","Valorisation matière",11842.05042
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01F","Verre","01Z","Non précisé",433.97991
2011,24,"Centre-Val de Loire","41","Loir-et-Cher","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",81.25111
2011,24,"Centre-Val de Loire","45","Loiret","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",138104.6264
2011,24,"Centre-Val de Loire","45","Loiret","01A","Ordures ménagères résiduelles","01C","Incinération sans récupération d'énergie",26176.65
2011,24,"Centre-Val de Loire","45","Loiret","01B","Encombrants","01D","Stockage",1546.15321
2011,24,"Centre-Val de Loire","45","Loiret","01D","Emballages et papier","01A","Valorisation matière",29137.03354
2011,24,"Centre-Val de Loire","45","Loiret","01F","Verre","01A","Valorisation matière",18184.49946
2011,24,"Centre-Val de Loire","45","Loiret","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",9.662
2011,94,"Corse","2A","Corse-du-Sud","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",2660
2011,94,"Corse","2A","Corse-du-Sud","01A","Ordures ménagères résiduelles","01D","Stockage",44332.71519
2011,94,"Corse","2A","Corse-du-Sud","01A","Ordures ménagères résiduelles","01Z","Non précisé",22803.71874
2011,94,"Corse","2A","Corse-du-Sud","01B","Encombrants","01A","Valorisation matière",1181
2011,94,"Corse","2A","Corse-du-Sud","01D","Emballages et papier","01A","Valorisation matière",1135.81
2011,94,"Corse","2A","Corse-du-Sud","01D","Emballages et papier","01Z","Non précisé",482.49055
2011,94,"Corse","2A","Corse-du-Sud","01F","Verre","01A","Valorisation matière",1735.46
2011,94,"Corse","2A","Corse-du-Sud","01F","Verre","01D","Stockage",16.38
2011,94,"Corse","2A","Corse-du-Sud","01F","Verre","01Z","Non précisé",1264.46216
2011,94,"Corse","2B","Haute-Corse","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",99.93
2011,94,"Corse","2B","Haute-Corse","01A","Ordures ménagères résiduelles","01D","Stockage",69862.04481
2011,94,"Corse","2B","Haute-Corse","01A","Ordures ménagères résiduelles","01Z","Non précisé",14875.94618
2011,94,"Corse","2B","Haute-Corse","01B","Encombrants","01A","Valorisation matière",86.42
2011,94,"Corse","2B","Haute-Corse","01B","Encombrants","01D","Stockage",230
2011,94,"Corse","2B","Haute-Corse","01D","Emballages et papier","01A","Valorisation matière",4133.27
2011,94,"Corse","2B","Haute-Corse","01D","Emballages et papier","01Z","Non précisé",1003.35232
2011,94,"Corse","2B","Haute-Corse","01F","Verre","01A","Valorisation matière",2405.62
2011,94,"Corse","2B","Haute-Corse","01F","Verre","01Z","Non précisé",3177.14851
2011,97,"Dom-Com","971","Guadeloupe","01A","Ordures ménagères résiduelles","01D","Stockage",117498.03
2011,97,"Dom-Com","971","Guadeloupe","01A","Ordures ménagères résiduelles","01Z","Non précisé",50307.42224
2011,97,"Dom-Com","971","Guadeloupe","01B","Encombrants","01A","Valorisation matière",800.16
2011,97,"Dom-Com","971","Guadeloupe","01B","Encombrants","01D","Stockage",39591.8
2011,97,"Dom-Com","971","Guadeloupe","01B","Encombrants","01Z","Non précisé",675
2011,97,"Dom-Com","971","Guadeloupe","01C","Déchets dangereux (y.c. DEEE)","01A","Valorisation matière",130.2514
2011,97,"Dom-Com","971","Guadeloupe","01C","Déchets dangereux (y.c. DEEE)","01D","Stockage",556
2011,97,"Dom-Com","971","Guadeloupe","01D","Emballages et papier","01A","Valorisation matière",1089.42
2011,97,"Dom-Com","971","Guadeloupe","01D","Emballages et papier","01D","Stockage",9.6
2011,97,"Dom-Com","971","Guadeloupe","01D","Emballages et papier","01Z","Non précisé",980.92192
2011,97,"Dom-Com","971","Guadeloupe","01E","Biodéchets","01D","Stockage",6720.5
2011,97,"Dom-Com","971","Guadeloupe","01E","Biodéchets","01E","Valorisation organique",3011.2
2011,97,"Dom-Com","971","Guadeloupe","01F","Verre","01A","Valorisation matière",653.51
2011,97,"Dom-Com","971","Guadeloupe","01F","Verre","01D","Stockage",300
2011,97,"Dom-Com","971","Guadeloupe","01F","Verre","01Z","Non précisé",1455.18637
2011,97,"Dom-Com","971","Guadeloupe","01ZG","Collectes séparées de gravats","01D","Stockage",33
2011,97,"Dom-Com","971","Guadeloupe","01ZHG","Collectes séparées hors gravats","01D","Stockage",13.5
2011,97,"Dom-Com","972","Martinique","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",88481
2011,97,"Dom-Com","972","Martinique","01A","Ordures ménagères résiduelles","01D","Stockage",46430.36
2011,97,"Dom-Com","972","Martinique","01B","Encombrants","01D","Stockage",37300.66
2011,97,"Dom-Com","972","Martinique","01D","Emballages et papier","01A","Valorisation matière",2543.06
2011,97,"Dom-Com","972","Martinique","01D","Emballages et papier","01E","Valorisation organique",114.18
2011,97,"Dom-Com","972","Martinique","01E","Biodéchets","01E","Valorisation organique",10711.61
2011,97,"Dom-Com","972","Martinique","01F","Verre","01A","Valorisation matière",1645.66
2011,97,"Dom-Com","973","Guyane","01A","Ordures ménagères résiduelles","01D","Stockage",92200.81
2011,97,"Dom-Com","973","Guyane","01A","Ordures ménagères résiduelles","01Z","Non précisé",59.42275
2011,97,"Dom-Com","973","Guyane","01B","Encombrants","01D","Stockage",8712.18
2011,97,"Dom-Com","973","Guyane","01D","Emballages et papier","01D","Stockage",261.78
2011,97,"Dom-Com","973","Guyane","01D","Emballages et papier","01Z","Non précisé",0
2011,97,"Dom-Com","973","Guyane","01E","Biodéchets","01D","Stockage",10
2011,97,"Dom-Com","973","Guyane","01E","Biodéchets","01E","Valorisation organique",5921.32
2011,97,"Dom-Com","973","Guyane","01F","Verre","01A","Valorisation matière",660
2011,97,"Dom-Com","973","Guyane","01F","Verre","01Z","Non précisé",316.21599
2011,97,"Dom-Com","974","Réunion","01A","Ordures ménagères résiduelles","01D","Stockage",259315.26
2011,97,"Dom-Com","974","Réunion","01A","Ordures ménagères résiduelles","01Z","Non précisé",1584.13584
2011,97,"Dom-Com","974","Réunion","01B","Encombrants","01A","Valorisation matière",19718.68
2011,97,"Dom-Com","974","Réunion","01B","Encombrants","01D","Stockage",30437.33
2011,97,"Dom-Com","974","Réunion","01C","Déchets dangereux (y.c. DEEE)","01A","Valorisation matière",257.61
2011,97,"Dom-Com","974","Réunion","01C","Déchets dangereux (y.c. DEEE)","01Z","Non précisé",46.82
2011,97,"Dom-Com","974","Réunion","01D","Emballages et papier","01A","Valorisation matière",30097.56
2011,97,"Dom-Com","974","Réunion","01D","Emballages et papier","01Z","Non précisé",129.89299
2011,97,"Dom-Com","974","Réunion","01E","Biodéchets","01A","Valorisation matière",19452
2011,97,"Dom-Com","974","Réunion","01E","Biodéchets","01E","Valorisation organique",106211.81
2011,97,"Dom-Com","974","Réunion","01F","Verre","01A","Valorisation matière",8529.81
2011,97,"Dom-Com","974","Réunion","01F","Verre","01Z","Non précisé",52.10792
2011,97,"Dom-Com","974","Réunion","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",954.25
2011,97,"Dom-Com","978","Saint-Martin","01A","Ordures ménagères résiduelles","01D","Stockage",15577
2011,97,"Dom-Com","978","Saint-Martin","01B","Encombrants","01A","Valorisation matière",534
2011,97,"Dom-Com","978","Saint-Martin","01D","Emballages et papier","01A","Valorisation matière",84
2011,97,"Dom-Com","978","Saint-Martin","01E","Biodéchets","01E","Valorisation organique",1688
2011,97,"Dom-Com","978","Saint-Martin","01F","Verre","01A","Valorisation matière",249
2011,97,"Dom-Com","987","Polynésie-française","01A","Ordures ménagères résiduelles","01D","Stockage",29687.98
2011,97,"Dom-Com","987","Polynésie-française","01A","Ordures ménagères résiduelles","01Z","Non précisé",49901.74445
2011,97,"Dom-Com","987","Polynésie-française","01B","Encombrants","01A","Valorisation matière",2777
2011,97,"Dom-Com","987","Polynésie-française","01B","Encombrants","01D","Stockage",2119
2011,97,"Dom-Com","987","Polynésie-française","01D","Emballages et papier","01A","Valorisation matière",2899.22
2011,97,"Dom-Com","987","Polynésie-française","01D","Emballages et papier","01Z","Non précisé",4126.64846
2011,97,"Dom-Com","987","Polynésie-française","01E","Biodéchets","01A","Valorisation matière",3082
2011,97,"Dom-Com","987","Polynésie-française","01E","Biodéchets","01E","Valorisation organique",9713
2011,97,"Dom-Com","987","Polynésie-française","01F","Verre","01A","Valorisation matière",876.2
2011,97,"Dom-Com","987","Polynésie-française","01F","Verre","01D","Stockage",7.2
2011,97,"Dom-Com","987","Polynésie-française","01F","Verre","01Z","Non précisé",1521.8056
2011,44,"Grand-Est","08","Ardennes","01A","Ordures ménagères résiduelles","01D","Stockage",71717.499
2011,44,"Grand-Est","08","Ardennes","01A","Ordures ménagères résiduelles","01Z","Non précisé",6208.29056
2011,44,"Grand-Est","08","Ardennes","01B","Encombrants","01D","Stockage",68.43
2011,44,"Grand-Est","08","Ardennes","01D","Emballages et papier","01A","Valorisation matière",14475.05
2011,44,"Grand-Est","08","Ardennes","01D","Emballages et papier","01Z","Non précisé",748.71534
2011,44,"Grand-Est","08","Ardennes","01E","Biodéchets","01E","Valorisation organique",5213.22
2011,44,"Grand-Est","08","Ardennes","01F","Verre","01A","Valorisation matière",8800.449
2011,44,"Grand-Est","08","Ardennes","01F","Verre","01Z","Non précisé",1085.90432
2011,44,"Grand-Est","10","Aube","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",375
2011,44,"Grand-Est","10","Aube","01A","Ordures ménagères résiduelles","01D","Stockage",79845.71732
2011,44,"Grand-Est","10","Aube","01A","Ordures ménagères résiduelles","01Z","Non précisé",6414.50607
2011,44,"Grand-Est","10","Aube","01B","Encombrants","01A","Valorisation matière",316
2011,44,"Grand-Est","10","Aube","01B","Encombrants","01D","Stockage",3170.53745
2011,44,"Grand-Est","10","Aube","01D","Emballages et papier","01A","Valorisation matière",13188.05728
2011,44,"Grand-Est","10","Aube","01D","Emballages et papier","01E","Valorisation organique",231.89
2011,44,"Grand-Est","10","Aube","01D","Emballages et papier","01Z","Non précisé",310.4693
2011,44,"Grand-Est","10","Aube","01E","Biodéchets","01E","Valorisation organique",7195.786
2011,44,"Grand-Est","10","Aube","01F","Verre","01A","Valorisation matière",11895.60745
2011,44,"Grand-Est","10","Aube","01F","Verre","01Z","Non précisé",1226.52356
2011,44,"Grand-Est","10","Aube","01ZHG","Collectes séparées hors gravats","01Z","Non précisé",16
2011,44,"Grand-Est","51","Marne","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",114520.9802
2011,44,"Grand-Est","51","Marne","01A","Ordures ménagères résiduelles","01D","Stockage",29680
2011,44,"Grand-Est","51","Marne","01A","Ordures ménagères résiduelles","01Z","Non précisé",1431.0526
2011,44,"Grand-Est","51","Marne","01B","Encombrants","01B","Incinération avec récupération d'énergie",112.17206
2011,44,"Grand-Est","51","Marne","01B","Encombrants","01D","Stockage",957.03
2011,44,"Grand-Est","51","Marne","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",3.5
2011,44,"Grand-Est","51","Marne","01D","Emballages et papier","01A","Valorisation matière",29511.11945
2011,44,"Grand-Est","51","Marne","01D","Emballages et papier","01Z","Non précisé",266.34563
2011,44,"Grand-Est","51","Marne","01E","Biodéchets","01B","Incinération avec récupération d'énergie",48.65
2011,44,"Grand-Est","51","Marne","01E","Biodéchets","01E","Valorisation organique",7151.16077
2011,44,"Grand-Est","51","Marne","01F","Verre","01A","Valorisation matière",22332.70314
2011,44,"Grand-Est","51","Marne","01F","Verre","01Z","Non précisé",87.65031
2011,44,"Grand-Est","51","Marne","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",0.33684
2011,44,"Grand-Est","52","Haute-Marne","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",47971.17976
2011,44,"Grand-Est","52","Haute-Marne","01A","Ordures ménagères résiduelles","01D","Stockage",60.47423
2011,44,"Grand-Est","52","Haute-Marne","01B","Encombrants","01D","Stockage",1.60256
2011,44,"Grand-Est","52","Haute-Marne","01D","Emballages et papier","01A","Valorisation matière",8712.88566
2011,44,"Grand-Est","52","Haute-Marne","01D","Emballages et papier","01B","Incinération avec récupération d'énergie",0.07438
2011,44,"Grand-Est","52","Haute-Marne","01F","Verre","01A","Valorisation matière",5259.14584
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",103494.1966
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01A","Ordures ménagères résiduelles","01D","Stockage",71254.84224
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01A","Ordures ménagères résiduelles","01E","Valorisation organique",28797.27007
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01A","Ordures ménagères résiduelles","01Z","Non précisé",70.21671
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01B","Encombrants","01A","Valorisation matière",5570.21
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01B","Encombrants","01D","Stockage",1367.57
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01B","Encombrants","01Z","Non précisé",0
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01C","Déchets dangereux (y.c. DEEE)","01A","Valorisation matière",6.43
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01C","Déchets dangereux (y.c. DEEE)","01B","Incinération avec récupération d'énergie",3.638
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01C","Déchets dangereux (y.c. DEEE)","01Z","Non précisé",0.024
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01D","Emballages et papier","01A","Valorisation matière",29652.72441
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01D","Emballages et papier","01B","Incinération avec récupération d'énergie",1357.95308
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01D","Emballages et papier","01D","Stockage",1951.1902
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01D","Emballages et papier","01E","Valorisation organique",1491.99892
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01D","Emballages et papier","01Z","Non précisé",355.3027
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01E","Biodéchets","01E","Valorisation organique",15466.42275
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01F","Verre","01A","Valorisation matière",20392.72021
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01F","Verre","01Z","Non précisé",295.50666
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01ZHG","Collectes séparées hors gravats","01A","Valorisation matière",204.46882
2011,44,"Grand-Est","54","Meurthe-et-Moselle","01ZHG","Collectes séparées hors gravats","01Z","Non précisé",35.78
2011,44,"Grand-Est","55","Meuse","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",13376
2011,44,"Grand-Est","55","Meuse","01A","Ordures ménagères résiduelles","01D","Stockage",34797
2011,44,"Grand-Est","55","Meuse","01A","Ordures ménagères résiduelles","01E","Valorisation organique",520.47051
2011,44,"Grand-Est","55","Meuse","01A","Ordures ménagères résiduelles","01Z","Non précisé",252.46921
2011,44,"Grand-Est","55","Meuse","01B","Encombrants","01D","Stockage",490.92
2011,44,"Grand-Est","55","Meuse","01D","Emballages et papier","01A","Valorisation matière",7067.39361
2011,44,"Grand-Est","55","Meuse","01D","Emballages et papier","01B","Incinération avec récupération d'énergie",3.94
2011,44,"Grand-Est","55","Meuse","01D","Emballages et papier","01E","Valorisation organique",36.58108
2011,44,"Grand-Est","55","Meuse","01D","Emballages et papier","01Z","Non précisé",1388.1739
2011,44,"Grand-Est","55","Meuse","01F","Verre","01A","Valorisation matière",6210.24609
2011,44,"Grand-Est","55","Meuse","01F","Verre","01Z","Non précisé",300.45548
2011,44,"Grand-Est","57","Moselle","01A","Ordures ménagères résiduelles","01A","Valorisation matière",16
2011,44,"Grand-Est","57","Moselle","01A","Ordures ménagères résiduelles","01B","Incinération avec récupération d'énergie",107925.4078
2011,44,"Grand-Est","57","Moselle","01A","Ordures ménagères résiduelles","01D","Stockage",168639.7182
2011,44,"Grand-Est","57","Moselle","01A","Ordures ménagères résiduelles","01E","Valorisation organique",4446.15942
