"idBank";"Dernière mise à jour";"Catalogue d'indicateurs démographiques";"Sexe";"Puissance";"Indicateur";"Unité";"Périodicité";"Zone géographique";"Nature";"Série arrêtée";"Âge";"Correction"
"001686794";"18/01/2022 12:00";"Sans objet";"Hommes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"75 ans et plus";"Non corrigé"
"001686795";"18/01/2022 12:00";"Sans objet";"Hommes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"De 15 à 49 ans";"Non corrigé"
"001686802";"18/01/2022 12:00";"Sans objet";"Femmes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"De 0 à 14 ans";"Non corrigé"
"001686803";"18/01/2022 12:00";"Sans objet";"Femmes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"Moins de 20 ans";"Non corrigé"
"001686804";"18/01/2022 12:00";"Sans objet";"Femmes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"De 20 à 59 ans";"Non corrigé"
"001686805";"18/01/2022 12:00";"Sans objet";"Femmes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"60 ans et plus";"Non corrigé"
"001686806";"18/01/2022 12:00";"Sans objet";"Femmes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"75 ans et plus";"Non corrigé"
"001686807";"18/01/2022 12:00";"Sans objet";"Femmes";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"De 15 à 49 ans";"Non corrigé"
"001686815";"18/01/2022 12:00";"Sans objet";"Ensemble";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"De 0 à 14 ans";"Non corrigé"
"001686816";"18/01/2022 12:00";"Sans objet";"Ensemble";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"Moins de 20 ans";"Non corrigé"
"001686814";"18/01/2022 12:00";"Sans objet";"Ensemble";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"De 20 à 59 ans";"Non corrigé"
"001686817";"18/01/2022 12:00";"Sans objet";"Ensemble";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"60 ans et plus";"Non corrigé"
"001686818";"18/01/2022 12:00";"Sans objet";"Ensemble";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"75 ans et plus";"Non corrigé"
"001686819";"18/01/2022 12:00";"Sans objet";"Ensemble";"0";"Population au 1er janvier";"individus";"Annuelle";"France";"Valeur absolue";"non";"De 15 à 49 ans";"Non corrigé"
